player_id,name,club,years,matches,goals,url,birthdate
255,lars andersson,IFK Göteborg,1957,1,0,https://goteborgsalliansen.se/spelare/Lars-Andersson_255,1932-02-04
230,leif andersson,GAIS,"1955,1957,1959,1960,1961,1962,1966",10,0,https://goteborgsalliansen.se/spelare/Leif-Andersson_230,1932-10-23
352,michael andersson,IFK Göteborg,1988,1,1,https://goteborgsalliansen.se/spelare/Michael-Andersson_352,1959-08-24
39,nils andersson,Örgryte IS,1921,1,0,https://goteborgsalliansen.se/spelare/Nils-Andersson_39,1903-09-01
110,otto andersson,Örgryte IS,"1931,1932,1933,1934,1935,1936,1937,1938",18,0,https://goteborgsalliansen.se/spelare/Otto-Andersson_110,1910-05-07
59,stellan andersson,IFK Göteborg,1923,1,0,https://goteborgsalliansen.se/spelare/Stellan-Andersson_59,1902-10-25
191,stig andersson i,GAIS,"1948,1949,1950,1951,1952,1953",21,4,https://goteborgsalliansen.se/spelare/Stig-Andersson+I_191,1925-10-10
271,stig andersson ii,Örgryte IS,1962,1,0,https://goteborgsalliansen.se/spelare/Stig-Andersson+II_271,1936-01-02
17,verner andersson,IFK Göteborg,"1925,1926,1927,1928,1929",9,0,https://goteborgsalliansen.se/spelare/Verner-Andersson_17,1904-06-03
17,verner andersson,IFK Göteborg,"1925,1926,1927,1928,1929",9,0,https://goteborgsalliansen.se/spelare/Verner-Andersson_17,1904-06-03
17,verner andersson,Gårda BK,1930,1,0,https://goteborgsalliansen.se/spelare/Verner-Andersson_17,1904-06-03
17,verner andersson,Gårda BK,1930,1,0,https://goteborgsalliansen.se/spelare/Verner-Andersson_17,1904-06-03
106,nils andreasson,GAIS,1930,1,0,https://goteborgsalliansen.se/spelare/Nils-Andreasson_106,1906-05-20
120,erik angren,GAIS,"1934,1937",3,0,https://goteborgsalliansen.se/spelare/Erik-Angren_120,1914-10-01
99,josef appelgren,Örgryte IS,1920,1,0,https://goteborgsalliansen.se/spelare/Josef-Appelgren_99,1890-09-29
219,sven appelgren,IFK Göteborg,1952,1,0,https://goteborgsalliansen.se/spelare/Sven-Appelgren_219,1927-09-08
292,kurt axelsson,GAIS,1966,1,0,https://goteborgsalliansen.se/spelare/Kurt-Axelsson_292,1941-11-10
295,kent bäck,Örgryte IS,1966,1,0,https://goteborgsalliansen.se/spelare/Kent-B%C3%A4ck_295,1942-03-06
205,leif beckman,Örgryte IS,1950,1,0,https://goteborgsalliansen.se/spelare/Leif-Beckman_205,1923-08-04
70,algot bengtsson,IFK Göteborg,"1925,1926,1927,1928,1929,1930,1931",15,0,https://goteborgsalliansen.se/spelare/Algot-Bengtsson_70,1900-09-16
141,gunnar bengtsson,Örgryte IS,1937,1,0,https://goteborgsalliansen.se/spelare/Gunnar-Bengtsson_141,1912-09-18
147,holger bengtsson,Gårda BK,1938,2,2,https://goteborgsalliansen.se/spelare/Holger-Bengtsson_147,1912-11-03
147,holger bengtsson,Gårda BK,1938,2,2,https://goteborgsalliansen.se/spelare/Holger-Bengtsson_147,1912-11-03
147,holger bengtsson,IFK Göteborg,"1939,1940,1942,1945,1946,1949",7,1,https://goteborgsalliansen.se/spelare/Holger-Bengtsson_147,1912-11-03
147,holger bengtsson,IFK Göteborg,"1939,1940,1942,1945,1946,1949",7,1,https://goteborgsalliansen.se/spelare/Holger-Bengtsson_147,1912-11-03
16,olle bengtsson,GAIS,"1928,1929,1930,1931,1932",12,0,https://goteborgsalliansen.se/spelare/Olle-Bengtsson_16,1908-02-28
112,fritz berg,IFK Göteborg,"1931,1932,1933,1940",6,0,https://goteborgsalliansen.se/spelare/Fritz-Berg_112,1909-11-03
204,yngve bergfelt,Örgryte IS,"1950,1951,1952",9,0,https://goteborgsalliansen.se/spelare/Yngve-Bergfelt_204,1927-04-17
127,gunnar berghult,Örgryte IS,"1935,1936",2,0,https://goteborgsalliansen.se/spelare/Gunnar-Berghult_127,1913-05-17
296,Åke bergling,Örgryte IS,"1967,1968",2,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Bergling_296,1943-02-04
198,roland berglöv,Örgryte IS,"1948,1949",2,0,https://goteborgsalliansen.se/spelare/Roland-Bergl%C3%B6v_198,1926-01-21
179,erik bergqvist,IFK Göteborg,"1945,1947,1948,1949,1950,1951,1952,1954",17,4,https://goteborgsalliansen.se/spelare/Erik-Bergqvist_179,1922-03-05
155,kurt bergsten,Landskrona BoIS,1939,1,0,https://goteborgsalliansen.se/spelare/Kurt-Bergsten_155,1912-06-24
81,algot bergström,IFK Göteborg,1931,2,0,https://goteborgsalliansen.se/spelare/Algot-Bergstr%C3%B6m_81,1909-12-23
156,edvin bergström,Sandvikens IF,1939,1,0,https://goteborgsalliansen.se/spelare/Edvin-Bergstr%C3%B6m_156,1916-06-25
220,bengt berndtsson,IFK Göteborg,"1952,1953,1954,1955,1956,1958,1959,1960,1961,1962,1963,1964,1967",26,3,https://goteborgsalliansen.se/spelare/Bengt-Berndtsson_220,1933-01-26
345,mikael berthagen,GAIS,1979,1,0,https://goteborgsalliansen.se/spelare/Mikael-Berthagen_345,1954-11-05
304,bengt bertilsson,IFK Göteborg,1968,1,0,https://goteborgsalliansen.se/spelare/Bengt-Bertilsson_304,1949-03-21
69,allan billing,Örgryte IS,"1928,1929,1930,1931",6,0,https://goteborgsalliansen.se/spelare/Allan-Billing_69,1901-07-12
177,stig björklund,Örgryte IS,"1945,1950,1952",5,0,https://goteborgsalliansen.se/spelare/Stig-Bj%C3%B6rklund_177,1923-08-23
47,joel björkman,GAIS,"1921,1922",4,1,https://goteborgsalliansen.se/spelare/Joel-Bj%C3%B6rkman_47,1890-07-23
196,leif björkman,IFK Göteborg,1948,1,0,https://goteborgsalliansen.se/spelare/Leif-Bj%C3%B6rkman_196,1924-10-11
210,stig björkman,GAIS,"1950,1954,1955",6,0,https://goteborgsalliansen.se/spelare/Stig-Bj%C3%B6rkman_210,1924-11-17
327,rolf blomqvist,IFK Göteborg,1972,1,0,https://goteborgsalliansen.se/spelare/Rolf-Blomqvist_327,1947-03-04
318,thomas bloom,GAIS,"1971,1974",3,0,https://goteborgsalliansen.se/spelare/Thomas-Bloom_318,1947-09-29
136,gösta bohman,IFK Göteborg,1936,1,0,https://goteborgsalliansen.se/spelare/G%C3%B6sta-Bohman_136,1911-08-27
330,bo börjesson,Örgryte IS,1972,1,1,https://goteborgsalliansen.se/spelare/Bo-B%C3%B6rjesson_330,1949-12-01
44,erik börjesson,Örgryte IS,"1922,1923",3,0,https://goteborgsalliansen.se/spelare/Erik-B%C3%B6rjesson_44,1886-12-01
275,helge börjesson,Örgryte IS,1962,1,0,https://goteborgsalliansen.se/spelare/Helge-B%C3%B6rjesson_275,1931-11-15
194,reino börjesson,Jonsereds IF,"1948,1962",2,0,https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,1929-02-04
194,reino börjesson,Jonsereds IF,"1948,1962",2,0,https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,1929-02-04
194,reino börjesson,IFK Göteborg,"1950,1952,1953",6,0,https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,1929-02-04
194,reino börjesson,IFK Göteborg,"1950,1952,1953",6,0,https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,1929-02-04
239,rune börjesson,Örgryte IS,"1955,1957,1958,1959,1960,1961",13,3,https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,1937-04-05
239,rune börjesson,Örgryte IS,"1955,1957,1958,1959,1960,1961",13,3,https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,1937-04-05
239,rune börjesson,Juventus FC,1962,1,0,https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,1937-04-05
239,rune börjesson,Juventus FC,1962,1,0,https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,1937-04-05
339,sören börjesson,Örgryte IS,"1975,1979",3,1,https://goteborgsalliansen.se/spelare/S%C3%B6ren-B%C3%B6rjesson_339,1956-03-14
267,yngve brodd,IFK Göteborg,"1962,1963",4,0,https://goteborgsalliansen.se/spelare/Yngve-Brodd_267,1930-06-09
41,bror carlsson,GAIS,"1921,1923,1924",11,11,https://goteborgsalliansen.se/spelare/Bror-Carlsson_41,1897-06-28
79,gottfrid carlsson,Örgryte IS,"1929,1930,1931,1932,1933,1934,1935",12,0,https://goteborgsalliansen.se/spelare/Gottfrid-Carlsson_79,1909-09-10
309,kjell-Åke carlsson,IFK Göteborg,1969,1,0,https://goteborgsalliansen.se/spelare/Kjell-%C3%85ke-Carlsson_309,1946-01-02
93,viktor carlund,Örgryte IS,"1929,1931,1933,1934,1935,1936,1938",13,0,https://goteborgsalliansen.se/spelare/Viktor-Carlund_93,1906-02-05
245,lars cato,GAIS,1956,2,0,https://goteborgsalliansen.se/spelare/Lars-Cato_245,1925-11-12
131,rolf christensson,IFK Göteborg,1936,1,0,https://goteborgsalliansen.se/spelare/Rolf-Christensson_131,1912-12-26
300,leif claesson,IFK Göteborg,1967,1,0,https://goteborgsalliansen.se/spelare/Leif-Claesson_300,1940-12-17
213,ingemar clarin,Örgryte IS,"1951,1952,1953",8,0,https://goteborgsalliansen.se/spelare/Ingemar-Clarin_213,1927-12-30
11,gösta clark,Örgryte IS,1921,5,0,https://goteborgsalliansen.se/spelare/G%C3%B6sta-Clark_11,1895-05-26
350,dan corneliusson,IFK Göteborg,1979,1,0,https://goteborgsalliansen.se/spelare/Dan-Corneliusson_350,1961-10-02
37,lasse dahlenborg,Örgryte IS,1921,1,2,https://goteborgsalliansen.se/spelare/Lasse-Dahlenborg_37,1895-07-18
348,peter dahlqvist,Örgryte IS,1979,1,0,https://goteborgsalliansen.se/spelare/Peter-Dahlqvist_348,1956-01-12
26,erik eiserman,IFK Göteborg,1920,1,0,https://goteborgsalliansen.se/spelare/Erik-Eiserman_26,1892-08-09
223,nils ekeroth,IFK Göteborg,"1952,1953,1954,1956,1960",7,0,https://goteborgsalliansen.se/spelare/Nils-Ekeroth_223,1930-04-28
266,rolf eklöf,IFK Göteborg,1962,1,0,https://goteborgsalliansen.se/spelare/Rolf-Ekl%C3%B6f_266,1938-07-24
306,håkan eklund,IFK Göteborg,"1968,1969",2,0,https://goteborgsalliansen.se/spelare/H%C3%A5kan-Eklund_306,1941-12-18
202,dan ekner,IFK Göteborg,"1949,1950,1954,1955",6,3,https://goteborgsalliansen.se/spelare/Dan-Ekner_202,1927-07-05
186,erland ekström,GAIS,"1946,1948",2,0,https://goteborgsalliansen.se/spelare/Erland-Ekstr%C3%B6m_186,1918-03-28
133,karl-erik eliasson,IFK Göteborg,1936,2,1,https://goteborgsalliansen.se/spelare/Karl-Erik-Eliasson_133,1916-04-22
154,göte ellström,Örgryte IS,"1939,1940",2,0,https://goteborgsalliansen.se/spelare/G%C3%B6te-Ellstr%C3%B6m_154,1916-08-27
183,rune emanuelsson,IFK Göteborg,"1945,1946,1947,1948,1949,1950,1951,1952",19,0,https://goteborgsalliansen.se/spelare/Rune-Emanuelsson_183,1923-10-08
97,bertil ericsson,Sandvikens IF,1937,1,0,https://goteborgsalliansen.se/spelare/Bertil-Ericsson_97,1908-11-06
286,björn eriksson,IFK Göteborg,"1965,1966,1968,1969,1970,1971,1972,1975",10,0,https://goteborgsalliansen.se/spelare/Bj%C3%B6rn-Eriksson_286,1943-09-10
242,ingemar eriksson,GAIS,1950,1,0,https://goteborgsalliansen.se/spelare/Ingemar-Eriksson_242,1929-05-09
182,nils eriksson,IFK Göteborg,1945,1,0,https://goteborgsalliansen.se/spelare/Nils-Eriksson_182,1916-03-02
333,per-erik eriksson,IFK Göteborg,1974,1,1,https://goteborgsalliansen.se/spelare/Per-Erik-Eriksson_333,1945-09-15
362,kaj eskelinen,IFK Göteborg,1992,1,0,https://goteborgsalliansen.se/spelare/Kaj-Eskelinen_362,1969-02-21
315, eusébio,SL Benfica,1971,1,1,https://goteborgsalliansen.se/spelare/-Eus%C3%A9bio_315,1942-01-25
227,axel färnström,IFK Göteborg,"1953,1954",2,0,https://goteborgsalliansen.se/spelare/Axel-F%C3%A4rnstr%C3%B6m_227,1925-11-20
130,gunnar forsberg,IFK Göteborg,1935,1,1,https://goteborgsalliansen.se/spelare/Gunnar-Forsberg_130,1911-03-17
224,leif forsberg,GAIS,"1953,1954,1956,1957,1958,1959,1962,1964",12,1,https://goteborgsalliansen.se/spelare/Leif-Forsberg_224,1932-10-06
319,eine fredriksson,GAIS,"1971,1974,1975",4,0,https://goteborgsalliansen.se/spelare/Eine-Fredriksson_319,1950-03-05
237,folke fredriksson,GAIS,"1955,1956",3,0,https://goteborgsalliansen.se/spelare/Folke-Fredriksson_237,1927-06-10
25,sven friberg,Örgryte IS,"1920,1921,1922,1923,1925,1926,1927,1928",26,1,https://goteborgsalliansen.se/spelare/Sven-Friberg_25,1895-02-07
100,rolf gardtman,Redbergslids IK,1930,1,1,https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,1907-08-18
100,rolf gardtman,Redbergslids IK,1930,1,1,https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,1907-08-18
100,rolf gardtman,Örgryte IS,1932,3,2,https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,1907-08-18
100,rolf gardtman,Örgryte IS,1932,3,2,https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,1907-08-18
178,evert grahn,IF Elfsborg,1945,1,0,https://goteborgsalliansen.se/spelare/Evert-Grahn_178,1921-05-21
178,evert grahn,IF Elfsborg,1945,1,0,https://goteborgsalliansen.se/spelare/Evert-Grahn_178,1921-05-21
178,evert grahn,IFK Göteborg,1947,1,0,https://goteborgsalliansen.se/spelare/Evert-Grahn_178,1921-05-21
178,evert grahn,IFK Göteborg,1947,1,0,https://goteborgsalliansen.se/spelare/Evert-Grahn_178,1921-05-21
83,erik granath,Örgryte IS,"1929,1930,1931,1932,1933,1934",11,0,https://goteborgsalliansen.se/spelare/Erik-Granath_83,1910-10-12
288,krister granbom,IFK Göteborg,1965,2,3,https://goteborgsalliansen.se/spelare/Krister-Granbom_288,1941-04-09
361,joakim grandelius,Örgryte IS,1992,1,0,https://goteborgsalliansen.se/spelare/Joakim-Grandelius_361,1970-09-20
211,tryggve granqvist,IFK Göteborg,"1950,1951",6,6,https://goteborgsalliansen.se/spelare/Tryggve-Granqvist_211,1925-12-25
274,kent grek,GAIS,1962,1,0,https://goteborgsalliansen.se/spelare/Kent-Grek_274,1942-04-27
173,gunnar gren,IFK Göteborg,"1944,1945,1946,1948,1949",8,4,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,IFK Göteborg,"1944,1945,1946,1948,1949",8,4,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,IFK Göteborg,"1944,1945,1946,1948,1949",8,4,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,IFK Göteborg,"1944,1945,1946,1948,1949",8,4,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,AFC Fiorentina,"1953,1954",2,1,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,AFC Fiorentina,"1953,1954",2,1,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,AFC Fiorentina,"1953,1954",2,1,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,AFC Fiorentina,"1953,1954",2,1,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Örgryte IS,"1956,1957,1958,1959",7,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Örgryte IS,"1956,1957,1958,1959",7,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Örgryte IS,"1956,1957,1958,1959",7,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Örgryte IS,"1956,1957,1958,1959",7,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Klubblös,"1962,1963",3,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Klubblös,"1962,1963",3,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Klubblös,"1962,1963",3,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
173,gunnar gren,Klubblös,"1962,1963",3,0,https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,1920-10-31
280,lars gunnskog,Örgryte IS,1964,1,0,https://goteborgsalliansen.se/spelare/Lars-Gunnskog_280,1941-08-06
82,gustaf gustafsson,GAIS,"1926,1927,1928,1929,1931",11,0,https://goteborgsalliansen.se/spelare/Gustaf-Gustafsson_82,1902-11-06
367,magnus gustafsson,GAIS,"1992,1993",2,0,https://goteborgsalliansen.se/spelare/Magnus-Gustafsson_367,1967-01-24
171,rolf gustafsson,GAIS,"1944,1945,1948,1949,1950",11,0,https://goteborgsalliansen.se/spelare/Rolf-Gustafsson_171,1920-04-21
276,Åke gustavsson,IFK Göteborg,1962,1,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Gustavsson_276,1935-03-10
321,christer gustavsson,Örgryte IS,"1971,1972,1974,1975",6,0,https://goteborgsalliansen.se/spelare/Christer-Gustavsson_321,1949-03-24
364,patrik gustavsson,Örgryte IS,1992,1,0,https://goteborgsalliansen.se/spelare/Patrik-Gustavsson_364,1965-01-13
71,ragnar gustavsson,GAIS,"1930,1931,1932,1933,1934,1935",10,6,https://goteborgsalliansen.se/spelare/Ragnar-Gustavsson_71,1907-09-28
357,jonny hägerå,Örgryte IS,"1992,1993",2,0,https://goteborgsalliansen.se/spelare/Jonny-H%C3%A4ger%C3%A5_357,1971-09-10
341,per-olof hagman,Örgryte IS,1975,1,0,https://goteborgsalliansen.se/spelare/Per-Olof-Hagman_341,1956-01-30
27,sjunne hallberg,Örgryte IS,"1920,1921",3,2,https://goteborgsalliansen.se/spelare/Sjunne-Hallberg_27,1893-04-12
379,thomas hallberg,GAIS,1993,1,0,https://goteborgsalliansen.se/spelare/Thomas-Hallberg_379,1967-03-18
162,Åke hallman,IFK Göteborg,1940,1,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Hallman_162,1912-11-12
122,sven hammar,GAIS,"1934,1935",3,1,https://goteborgsalliansen.se/spelare/Sven-Hammar_122,1911-05-26
241,nils hansén,IFK Göteborg,1940,1,0,https://goteborgsalliansen.se/spelare/Nils-Hans%C3%A9n_241,1920-04-18
15,Åke hansson,IFK Göteborg,"1925,1926,1927",7,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,1903-04-16
15,Åke hansson,IFK Göteborg,"1925,1926,1927",7,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,1903-04-16
15,Åke hansson,GAIS,"1930,1931",3,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,1903-04-16
15,Åke hansson,GAIS,"1930,1931",3,0,https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,1903-04-16
78,evert hansson,Örgryte IS,"1929,1930,1931,1932,1933,1934,1935,1937,1940",18,5,https://goteborgsalliansen.se/spelare/Evert-Hansson_78,1908-02-23
197,holger hansson,IFK Göteborg,"1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959",29,1,https://goteborgsalliansen.se/spelare/Holger-Hansson_197,1927-01-26
146,knut hansson,Landskrona BoIS,"1938,1939",2,0,https://goteborgsalliansen.se/spelare/Knut-Hansson_146,1911-05-09
248,per-olof hansson,IFK Göteborg,"1956,1958",3,0,https://goteborgsalliansen.se/spelare/Per-Olof-Hansson_248,1932-03-24
294,rolf hansson,Örgryte IS,"1966,1967,1968,1970",4,0,https://goteborgsalliansen.se/spelare/Rolf-Hansson_294,1943-12-01
55,viktor hansson,IFK Göteborg,1921,1,0,https://goteborgsalliansen.se/spelare/Viktor-Hansson_55,1893-08-26
298,lars-ove haraldsson,GAIS,1967,1,0,https://goteborgsalliansen.se/spelare/Lars-Ove-Haraldsson_298,1942-07-21
312,kent harman,GAIS,1970,1,0,https://goteborgsalliansen.se/spelare/Kent-Harman_312,1943-04-22
62,einar hedeberg,Örgryte IS,"1923,1924,1929",4,0,https://goteborgsalliansen.se/spelare/Einar-Hedeberg_62,1898-10-23
301,christer heideberg,GAIS,1968,1,0,https://goteborgsalliansen.se/spelare/Christer-Heideberg_301,1942-02-08
60,henning helgesson,Örgryte IS,"1923,1924,1925,1927,1928,1929,1930,1931",16,1,https://goteborgsalliansen.se/spelare/Henning-Helgesson_60,1900-03-28
246,ove helmér,IK Oddevold,1956,1,0,https://goteborgsalliansen.se/spelare/Ove-Helm%C3%A9r_246,1933-05-07
244,lars henriksson,IFK Göteborg,1956,3,0,https://goteborgsalliansen.se/spelare/Lars-Henriksson_244,1930-10-04
34,gustaf hermansson,IFK Göteborg,1921,2,1,https://goteborgsalliansen.se/spelare/Gustaf-Hermansson_34,1900-05-01
42,fritjof hillén,GAIS,"1921,1922,1923,1925,1926",10,0,https://goteborgsalliansen.se/spelare/Fritjof-Hill%C3%A9n_42,1893-05-19
89,alf hjelm,GAIS,"1929,1932",4,2,https://goteborgsalliansen.se/spelare/Alf-Hjelm_89,1902-12-28
10,erik hjelm,IFK Göteborg,"1920,1921,1922,1923,1924,1925,1927",23,6,https://goteborgsalliansen.se/spelare/Erik-Hjelm_10,1893-05-22
302,gunder högström,GAIS,1968,1,0,https://goteborgsalliansen.se/spelare/Gunder-H%C3%B6gstr%C3%B6m_302,1944-01-17
61,gunnar holmberg,GAIS,"1923,1925,1926,1927,1928",12,1,https://goteborgsalliansen.se/spelare/Gunnar-Holmberg_61,1897-05-06
73,karl-erik holmberg,Örgryte IS,"1925,1926,1927,1928,1929,1930,1931,1932,1933,1934",33,21,https://goteborgsalliansen.se/spelare/Karl-Erik-Holmberg_73,1906-07-17
35,ivan holmdahl,GAIS,1921,1,0,https://goteborgsalliansen.se/spelare/Ivan-Holmdahl_35,1894-07-28
92,vallentin hultén,IFK Göteborg,"1937,1938,1939,1940",6,0,https://goteborgsalliansen.se/spelare/Vallentin-Hult%C3%A9n_92,1911-02-14
91,olof hultfeldt,IFK Göteborg,"1936,1939,1940",5,0,https://goteborgsalliansen.se/spelare/Olof-Hultfeldt_91,1911-09-17
88,erik hultgren,Örgryte IS,1928,1,0,https://goteborgsalliansen.se/spelare/Erik-Hultgren_88,1903-03-03
87,erik hysén,IFK Göteborg,"1927,1928,1929,1930,1935",7,3,https://goteborgsalliansen.se/spelare/Erik-Hys%C3%A9n_87,1906-05-18
354,glenn hysén,GAIS,1992,1,0,https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,1959-10-30
354,glenn hysén,GAIS,1992,1,0,https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,1959-10-30
354,glenn hysén,IFK Göteborg,1993,1,0,https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,1959-10-30
354,glenn hysén,IFK Göteborg,1993,1,0,https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,1959-10-30
373,jethro jackson,GAIS,1993,1,0,https://goteborgsalliansen.se/spelare/Jethro-Jackson_373,1973-05-16
208,karl-alfred jacobsson,GAIS,"1950,1951,1952,1953,1954,1955,1956,1957",26,19,https://goteborgsalliansen.se/spelare/Karl-Alfred-Jacobsson_208,1926-01-15
215,sanny jacobsson,GAIS,"1950,1951,1952,1954,1958,1959",11,3,https://goteborgsalliansen.se/spelare/Sanny-Jacobsson_215,1930-07-06
